created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,
"Thu Oct 05 17:01:57 +0000 2023;1709977235078451500;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709977235078451500;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709977235078451500",,,,,,,,,,,
"Thu Oct 05 17:00:21 +0000 2023;1709976832655884711;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709976832655884711;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709976832655884711",,,,,,,,,,,
"Thu Oct 05 17:00:05 +0000 2023;1709976765081452950;""Jng kejebak issue ini.. Kasian jessica ngga perlu ada ini kasus...  tW tolol  Kalau punya kasus"," yg suruh kerja gerakan satgassus samboCs..  Mau tutup reklamasi...et tidak bisa Sekaran mau tutup rempang..   Gila lu...  #tangkapmafiarempang"";0;0;0;0;in;1670241640735473664;1709976765081452950;SatuhatiKopi;https://twitter.com/SatuhatiKopi/status/1709976765081452950",,,,,,,,,,
"Thu Oct 05 17:00:02 +0000 2023;1709976754901876826;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709976754901876826;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709976754901876826",,,,,,,,,,,
"Thu Oct 05 16:59:27 +0000 2023;1709976606415126974;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709976606415126974;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709976606415126974",,,,,,,,,,,
"Thu Oct 05 16:58:24 +0000 2023;1709976343168024802;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709976343168024802;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709976343168024802",,,,,,,,,,,
"Thu Oct 05 16:58:11 +0000 2023;1709976289250247016;""@democrazymedia Emang Bener kt bung.@RG",B..T*,otaknya dikasihkan siapa negara dijual sampe 2abad? Rakyat di RI JADI BUDAK DINEGRI KITA SENDIRI.. La terus slogannya NKRI HARGA MATI utk apa? Klo smw kekaya'an dikasihkan china... Begini berarti sdh tdk mampu jd presiden," belum lg so'al rempang"";0;0;0;0;in;1607359469318725633;1709795552203096261;LuckyLudjaina;https://twitter.com/LuckyLudjaina/status/1709976289250247016",,,,,,,,
"Thu Oct 05 16:57:55 +0000 2023;1709976219230535905;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709976219230535905;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709976219230535905",,,,,,,,,,,
"Thu Oct 05 16:56:50 +0000 2023;1709975947364139361;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709975947364139361;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709975947364139361",,,,,,,,,,,
"Thu Oct 05 16:53:07 +0000 2023;1709975014202834955;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709975014202834955;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709975014202834955",,,,,,,,,,,
"Thu Oct 05 16:51:54 +0000 2023;1709974707162984647;""@Su3mul @afriadi14 @Resty_J_Cayah @KPK_RI @limpo @NasDem bentar yg dari awal dulu", pertama jakarta gagal, ikn ketar ketir, rempang jadi solusi 1," kira kira dimana lagih nih?"";0;0;0;0;in;2690036156;1709894292574241099;ruswandi_nandi;https://twitter.com/ruswandi_nandi/status/1709974707162984647",,,,,,,
"Thu Oct 05 16:48:17 +0000 2023;1709973795904373208;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709973795904373208;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709973795904373208",,,,,,,,,,,
"Thu Oct 05 16:47:08 +0000 2023;1709973508661588290;""#AniesMuhaimin2024 Rempang"";0;0;0;0;in;1670070721186529280;1709973508661588290;joko_ngiboel;https://twitter.com/joko_ngiboel/status/1709973508661588290",,,,,,,,,,,
